company,title,category,role_type,employment_type,location,remote,posted_at,posted_source,sponsor_history,sponsor_petitions,no_sponsorship,citizenship_required,skills,pay,url,first_seen,uid,source
Abridge,"Software Engineer, Early Career",AI/ML,New Grad,Full-time,SF Office,False,2026-08-26,source,True,20,False,False,"LLM, LangChain",$167K – $184K,https://jobs.ashbyhq.com/abridge/7d6ae2be-cd53-466c-8151-2dae2e87aace/application,2026-08-26T17:40:48+00:00,f7f8fc8dda939f95,ashby
Applied Intuition,"Research Intern - Reinforcement Learning, Self-Driving",AI/ML,Internship,Contract,Sunnyvale,False,2024-09-21,source,True,164,False,False,,$65 per hour,https://jobs.ashbyhq.com/applied/ce58d9fd-f22b-4336-80b5-ba1e8d764526/application,2026-08-11T15:59:05+00:00,f501cb53695d6f5e,ashby
Applied Intuition,"Research Intern - 3D Vision and Generation, Self-Driving",AI/ML,Internship,Contract,Sunnyvale,False,2026-02-13,source,True,164,False,False,,$65 per hour,https://jobs.ashbyhq.com/applied/91e0686e-272a-4780-b33d-d7860b94a7b4/application,2026-08-11T15:59:05+00:00,d5cbbafd23202552,ashby
Applied Intuition,"Research Intern - Robotic Hardware, Simulation and Data",AI/ML,Internship,Contract,Sunnyvale,False,2026-02-13,source,True,164,False,False,,$65 per hour,https://jobs.ashbyhq.com/applied/5bb0567a-8d07-4cc4-be7c-c06b31361883/application,2026-08-11T15:59:05+00:00,67808bdbdc5c1536,ashby
Applied Intuition,"Research Intern - Reinforcement Learning, Robotics",AI/ML,Internship,Contract,Sunnyvale,False,2026-02-13,source,True,164,False,False,,$65 per hour,https://jobs.ashbyhq.com/applied/bb953f29-0059-4a40-aa9e-3a8c88733902/application,2026-08-11T15:59:05+00:00,7e3f12746e482f4d,ashby
Applied Intuition,"Research Intern - World-Action Foundation Model, Robotics",AI/ML,Internship,Contract,Sunnyvale,False,2026-02-13,source,True,164,False,False,,$65 per hour,https://jobs.ashbyhq.com/applied/edc2528d-6e6c-4a67-b871-bfe7d9c890b4/application,2026-08-11T15:59:05+00:00,387a528c6e92239d,ashby
Applied Intuition,Research Engineer - New Grad (2027),AI/ML,New Grad,Full-time,Sunnyvale,False,2026-08-14,source,True,164,False,False,"Python, PyTorch",$140K – $200K • Offers Equity,https://jobs.ashbyhq.com/applied/45fc41cd-8280-4010-ba1f-def6114b3e39/application,2026-08-14T22:43:56+00:00,17521336f5f6129e,ashby
Cerebras Systems,CoDesign & NextGen - New College Grad,AI/ML,New Grad,Full-time,"Sunnyvale, CA",False,2026-01-07,source,True,43,False,False,"Python, C++","$145,000-$155,000",https://jobs.ashbyhq.com/cerebras/987d7f64-c957-4c8f-b89d-2f9d64738507/application,2026-08-25T09:54:02+00:00,5df786372f105393,ashby
Cerebras Systems,Kernel Engineer - New Grad,AI/ML,New Grad,Full-time,"Sunnyvale, CA",True,2026-07-23,source,True,43,False,False,"Python, C++, PyTorch, TensorFlow, CUDA",,https://jobs.ashbyhq.com/cerebras/9c7da4b8-446b-4bf2-8d07-23241590bf2e/application,2026-08-25T09:03:02+00:00,c755858867ad7dc4,ashby
Color Health,"Software Engineer, New Grad 2026",AI/ML,New Grad,Full-time,"South San Francisco, California",False,2026-07-28,source,True,3,False,False,"Python, AWS, SQL, LLM","$125,000-$140,000",https://jobs.ashbyhq.com/color-health/41fa6f16-b2f2-46c6-bdb4-9aae3b9b5b96/application,2026-08-11T16:13:13+00:00,1fc646686de75bca,ashby
